easy_problems_solved,medium_problems_solved,hard_problems_solved,easy_problems_given,medium_problems_given,hard_problems_given,total_problems_given,total_problems_solved,next_easy,next_medium,next_hard
1,17,1,12,18,6,36,19,5,32,8
12,16,7,16,20,10,46,35,1,31,4
5,12,1,10,13,7,30,18,3,25,9
16,5,10,29,11,14,54,31,3,15,3
4,12,10,17,20,13,50,26,5,25,3
11,14,10,15,19,14,48,35,2,28,4
9,2,1,19,14,5,38,12,3,11,8
4,3,10,19,15,11,45,17,5,12,2
9,1,6,23,12,6,41,16,4,10,2
17,18,5,19,24,12,55,40,1,33,6
3,15,4,30,24,5,59,22,5,29,3
17,16,8,28,21,8,57,41,2,30,2
9,1,10,11,11,15,37,20,1,9,4
8,5,10,26,15,14,55,23,4,15,4
4,12,3,13,13,15,41,19,4,25,8
7,17,2,11,20,12,43,26,2,32,9
9,5,4,10,15,13,38,18,1,15,7
3,8,1,27,17,8,52,12,5,20,9
13,12,6,24,20,7,51,31,3,24,3
8,10,6,21,11,8,40,24,3,22,4
6,7,1,16,16,12,44,14,3,18,9
11,17,1,18,20,9,47,29,2,32,9
13,16,8,30,16,9,55,37,3,31,2
6,11,9,10,21,12,43,26,3,23,3
11,22,8,24,23,11,58,41,3,39,4
20,13,5,23,23,7,53,38,1,26,4
4,6,10,13,24,11,48,20,4,16,2
13,8,6,17,16,10,43,27,1,19,4
12,11,13,25,13,15,53,36,3,24,2
7,6,11,13,17,11,41,24,3,17,2
20,6,5,21,20,6,47,31,1,16,3
20,3,4,21,19,5,45,27,1,12,4
19,6,10,22,10,12,44,35,1,16,2
2,14,2,12,20,6,38,18,5,28,7
9,5,12,23,19,13,55,26,4,15,2
16,9,9,22,16,11,49,34,1,20,2
8,4,8,21,23,12,56,20,3,13,4
10,0,12,27,12,12,51,22,4,8,2
8,7,1,27,10,15,52,16,4,18,9
13,1,1,15,13,12,40,15,1,10,9
12,16,6,23,19,7,49,34,3,30,2
4,6,5,27,11,15,53,15,5,16,7
16,12,3,19,24,13,56,31,1,25,8
0,0,8,16,17,9,42,8,6,8,2
1,0,11,11,24,15,50,12,5,8,3
6,0,1,10,12,5,27,7,2,8,8
16,4,14,27,10,14,51,34,2,14,2
3,9,13,11,24,15,50,25,4,21,2
1,14,4,11,15,12,38,19,5,28,7
2,16,4,10,17,5,32,22,5,30,3
1,9,4,18,19,7,44,14,6,21,5
26,15,0,27,19,14,60,41,1,29,10
2,9,5,29,10,11,50,16,5,21,6
18,6,7,22,10,8,40,31,1,16,2
4,10,4,14,21,10,45,18,4,22,6
15,11,12,20,25,12,57,38,1,23,2
7,1,7,23,14,7,44,15,4,9,2
10,13,2,21,14,5,40,25,3,26,6
5,15,1,12,21,14,47,21,4,29,10
6,5,5,18,11,9,38,16,4,15,5
12,4,1,25,22,12,59,17,3,14,10
5,3,6,13,20,7,40,14,3,12,2
1,17,6,22,18,7,47,24,6,31,2
4,21,2,20,23,15,58,27,5,37,9
1,5,2,11,15,7,33,8,5,15,8
12,7,1,24,23,14,61,20,3,18,9
25,3,9,28,11,13,52,37,1,12,4
11,10,11,30,11,14,55,32,4,22,3
8,15,1,12,21,10,43,24,2,29,9
14,2,3,21,11,5,37,19,2,11,5
11,10,7,29,19,11,59,28,4,22,4
23,7,2,25,12,5,42,32,1,18,7
20,17,3,27,23,14,64,40,2,32,8
3,2,5,27,12,15,54,10,5,11,7
7,20,3,16,21,15,52,30,3,36,8
12,11,5,20,18,8,46,28,2,24,4
0,1,1,28,23,14,65,2,6,10,9
12,5,6,13,19,6,38,23,1,15,2
10,13,3,11,13,14,38,26,1,26,8
14,3,11,21,13,13,47,28,2,12,2
6,16,0,17,20,11,48,22,4,30,10
3,5,7,29,25,10,64,15,5,15,3
0,4,11,18,12,12,42,15,6,13,2
0,4,12,30,11,13,54,16,6,13,2
13,12,4,20,22,5,47,29,2,25,4
7,14,2,21,17,5,43,23,4,28,6
14,13,0,17,17,11,45,27,1,26,10
9,7,4,20,24,12,56,20,3,18,7
15,2,5,15,17,7,39,22,1,10,4
29,3,1,30,17,5,52,33,1,12,8
9,16,7,14,18,10,42,32,2,31,4
11,19,5,14,23,9,46,35,2,35,5
15,15,4,15,18,9,42,34,1,29,6
16,4,1,30,24,6,60,21,3,14,9
12,2,11,16,15,11,42,25,2,11,2
21,10,3,21,19,14,54,34,1,22,8
5,1,2,22,15,10,47,8,5,9,8
22,7,11,24,10,11,45,40,1,18,2
3,4,6,12,13,8,33,13,4,13,3
6,14,0,11,24,5,40,20,3,27,10
15,2,4,15,24,11,50,21,1,11,7
1,15,9,26,17,11,54,25,5,29,3
11,13,3,13,14,14,41,27,1,26,8
16,0,10,30,12,15,57,26,3,8,4
19,4,4,30,11,6,47,27,2,13,5
6,11,2,15,24,5,44,19,4,24,7
7,5,2,10,19,13,42,14,2,15,9
3,0,7,17,25,15,57,10,5,8,6
15,22,6,16,23,11,50,43,1,39,5
0,3,2,16,23,14,53,5,6,13,8
2,13,2,10,17,11,38,17,5,26,8
11,11,3,11,21,10,42,25,1,24,7
