topic,level,days_spent,next_topic
hash table,hard,6,tree
binary search,medium,5,graph theory
math,easy,1,number theory
system design,easy,2,concurrency
math,easy,1,number theory
dynamic programming,easy,2,memoization
rolling hash,hard,7,suffix array
design,medium,4,system design
design,easy,1,system design
system design,medium,3,concurrency
string,easy,1,sorting
recursion,medium,4,divide and conquer
combinatorics,medium,3,probability
probability,medium,5,statistics
stack,easy,2,monotonic stack
math,medium,3,number theory
concurrency,medium,3,design
string,medium,4,sorting
concurrency,hard,6,design
sorting,hard,7,binary search
stack,hard,6,monotonic stack
string matching,medium,3,rolling hash
system design,hard,6,concurrency
two pointers,medium,4,array
design,easy,2,system design
bitmask,medium,3,backtracking
bitmask,hard,7,backtracking
greedy,hard,6,dynamic programming
sorting,medium,3,binary search
string matching,hard,7,rolling hash
sliding window,hard,7,two pointers
two pointers,medium,4,array
shortest path,hard,7,graph theory
binary indexed tree,medium,5,range query
concurrency,hard,6,design
divide and conquer,hard,7,segment tree
rolling hash,hard,6,suffix array
design,medium,3,system design
hash table,hard,6,graph theory
binary tree,medium,5,depth-first search
system design,easy,2,concurrency
combinatorics,hard,7,probability
greedy,easy,1,dynamic programming
hash table,medium,5,tree
design,medium,4,system design
binary search,hard,6,graph theory
backtracking,hard,6,recursion
rolling hash,medium,4,suffix array
two pointers,medium,3,array
binary indexed tree,medium,5,range query
string,hard,6,sorting
design,easy,2,system design
array,medium,4,string
two pointers,medium,5,array
binary search,hard,6,graph theory
array,medium,3,string
segment tree,hard,6,binary indexed tree
binary search,medium,5,tree
greedy,medium,4,dynamic programming
string matching,medium,4,rolling hash
probability,hard,6,statistics
two pointers,easy,1,array
binary indexed tree,hard,6,range query
sliding window,medium,3,two pointers
two pointers,easy,1,array
bitmask,hard,7,backtracking
probability,medium,5,statistics
rolling hash,easy,1,suffix array
monotonic stack,hard,7,sliding window
monotonic stack,medium,5,sliding window
sliding window,easy,1,two pointers
monotonic stack,easy,1,sliding window
simulation,hard,6,design
segment tree,easy,2,binary indexed tree
string matching,medium,4,rolling hash
monotonic stack,hard,7,sliding window
greedy,medium,3,dynamic programming
system design,medium,5,concurrency
monotonic stack,easy,1,sliding window
linked list,medium,4,doubly-linked list
stack,medium,5,monotonic stack
tree,hard,7,binary tree
recursion,hard,7,divide and conquer
